Podcast Name,Episode Title
E24-podden,Oslo er den globale vinnerbørsen
HR-podden,"229:  Den stille styrken, om høysensitivitet i arbeidslivet med Runar Heggen"
HR-podden,232: Tillit som kulturstrategi med Marcus Sahlin Pettersen & Kristin Bjerke
HR-podden,233: Hvordan jobbe systematisk med nye lovkrav til psykososialt arbeidsmiljø med Monica Wibecan
HR-podden,234: Prestasjonsledelse med Karina Andersen Aas og Cecilie Ystenes Myhre
HR-podden,235: Slik bygger du en sunn tilbakemeldingskultur med Anne Lise Heide
HR-podden,236: Motiverende intervju: Kunsten å skape endring gjennom samtale med Liv Brauer
HR-podden,237: Hvordan lykkes med strategisk HR med Rachel Wilson Rugelsjøen
Big Take Asia (Bloomberg),How Hormuz Closure Could Squeeze Asia’s Staple Crop
The Journal (WSJ),An Influencer's False Promise to Make His Followers Rich
Today Explained (Vox),The secret soundtrack to your life
Today Explained (Vox),Why both sides fail on immigration
Today Explained (Vox),How to fight burnout
Heis,"Kari Olrud Moen om strategi, kunsten å velge bort og forskjellen på å være tydelig og skråsikker"
Agile Mentors Podcast,#179: Leadership Decisions That Quietly Derail Agile with Mike Cohn
E24-podden,Gigantsplitt på Oslo Børs til uka
Heis,"Tobias K. Torrissen om kodekvalitet, konferanser og AI"
Big Take Asia (Bloomberg),Meet OpenClaw: The AI Craze Sweeping China
Agile Mentors Podcast,#178: How AI Is Actually Changing Software Teams with Hunter Hillegas
No Priors,Cosmic Queries – Total Darkness
The Journal (WSJ),How Iran's Regime Changed...for the Worse
Today Explained (Vox),The case for holy war
E24-podden,Fra lagerjobb til toppsjef
Teknologi og mennesker,Hva er det vi ikke forstår i norsk skole?
